source_row,vehicle_group,source_full_item_name,source_item_name,system_category,source_item_group,source_unit,normalized_uom,item_code,item_name,catalog_type,stock_item,source_exclusive,source_vat,source_inclusive,vat_arithmetic_delta,price_status,status,review_reason
36,Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine GUIDE-CHAIN TEN (Guide chain tensioner, big)","GUIDE-CHAIN TEN (Guide chain tensioner, big)",Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-GUIDE-CHAIN-TEN-GUIDE-CHAIN-TENSIONER-BIG,"Nissan vehicles – YD25 engine - GUIDE-CHAIN TEN (Guide chain tensioner, big)",stock,1,79739.00,14353.00,94092.00,0.00,ready,ready,
37,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CHAIN-TIMING CA (Timing chain loose end),CHAIN-TIMING CA (Timing chain loose end),Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-CHAIN-TIMING-CA-TIMING-CHAIN-LOOSE-END,Nissan vehicles – YD25 engine - CHAIN-TIMING CA (Timing chain loose end),stock,1,735589.00,132406.00,867995.00,0.00,ready,ready,
38,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CHAIN-TIMING CA (Timing chain tension end),CHAIN-TIMING CA (Timing chain tension end),Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-CHAIN-TIMING-CA-TIMING-CHAIN-TENSION-END,Nissan vehicles – YD25 engine - CHAIN-TIMING CA (Timing chain tension end),stock,1,559277.00,100670.00,659946.00,1.00,ready,ready,
39,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Tension Chain,Tension Chain,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-TENSION-CHAIN,Nissan vehicles – YD25 engine - Tension Chain,stock,1,428118.00,77061.00,505179.00,0.00,ready,ready,
40,Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine SEAL-OIL CRANKS (Crankshaft oil seal, front)","SEAL-OIL CRANKS (Crankshaft oil seal, front)",Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-SEAL-OIL-CRANKS-CRANKSHAFT-OIL-SEAL-FRONT,"Nissan vehicles – YD25 engine - SEAL-OIL CRANKS (Crankshaft oil seal, front)",stock,1,128091.00,23056.00,151148.00,-1.00,ready,ready,
41,Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine SEAL-OIL CRANKS (Crankshaft oil seal, rear))","SEAL-OIL CRANKS (Crankshaft oil seal, rear))",Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-SEAL-OIL-CRANKS-CRANKSHAFT-OIL-SEAL-REAR,"Nissan vehicles – YD25 engine - SEAL-OIL CRANKS (Crankshaft oil seal, rear))",stock,1,221129.00,39803.00,260933.00,-1.00,ready,ready,
42,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine HEAD CYLINDER (Cylinder head),HEAD CYLINDER (Cylinder head),Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-HEAD-CYLINDER-CYLINDER-HEAD,Nissan vehicles – YD25 engine - HEAD CYLINDER (Cylinder head),stock,1,8376766.00,1507818.00,9884584.00,0.00,ready,ready,
43,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Cylinder head refacing,Cylinder head refacing,Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-CYLINDER-HEAD-REFACING,Nissan vehicles – YD25 engine - Cylinder head refacing,stock,1,1385548.00,249399.00,1634947.00,0.00,ready,ready,
44,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Gasket Cylinder (Cylinde head gasket),Gasket Cylinder (Cylinde head gasket),Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-GASKET-CYLINDER-CYLINDE-HEAD-GASKET,Nissan vehicles – YD25 engine - Gasket Cylinder (Cylinde head gasket),stock,1,397067.00,71472.00,468539.00,0.00,ready,ready,
45,Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine GASKET-ROCKER C (Rocker cover gasket),GASKET-ROCKER C (Rocker cover gasket),Engine Components,Auto Parts,PC,PCS,ASM-NISSAN-VEHICLES-YD25-ENGINE-GASKET-ROCKER-C-ROCKER-COVER-GASKET,Nissan vehicles – YD25 engine - GASKET-ROCKER C (Rocker cover gasket),stock,1,178594.00,32147.00,210741.00,0.00,ready,ready,
