name,item_code,price_list,price_list_rate,uom,currency,selling,buying,note,reference
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PAD-KIT-DISC-BRAKE-PADS-FRONT,Standard Selling,739947.00,PCS,UGX,1,0,Source VAT: 133191.00; source inclusive: 873138.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PLUG-DRAIN,Standard Selling,23475.00,PCS,UGX,1,0,Source VAT: 4225.00; source inclusive: 27700.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-ENGINE-BARE-COMPLETE-ENGINE-ASSY,Standard Selling,99984273.00,PCS,UGX,1,0,Source VAT: 17997169.00; source inclusive: 117981442.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-RING-SET-PISTON-PISTON-RINGS,Standard Selling,2175137.00,Set,UGX,1,0,Source VAT: 391525.00; source inclusive: 2566662.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PISTON-WITH-PIN-PISTON,Standard Selling,5519817.00,Set,UGX,1,0,Source VAT: 993567.00; source inclusive: 6513384.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BEARING-SET-MAIN-BEARINGS,Standard Selling,300737.00,Set,UGX,1,0,Source VAT: 54133.00; source inclusive: 354870.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BUSHING-SET-CON-PIECE-BEARINGS,Standard Selling,125211.00,Set,UGX,1,0,Source VAT: 22538.00; source inclusive: 147749.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BLOCK-SLEEVE,Standard Selling,1484516.00,Set,UGX,1,0,Source VAT: 267213.00; source inclusive: 1751729.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-GASKET-ENGINE-OVERHAUL-GASKET-KIT,Standard Selling,1518614.00,PCS,UGX,1,0,Source VAT: 273350.00; source inclusive: 1791964.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-ROD-COMP-CON-CONNECTING-RODS,Standard Selling,4178226.00,Set,UGX,1,0,Source VAT: 752081.00; source inclusive: 4930307.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PUMP-INJECTION-INJECTOR-PUMP,Standard Selling,11788709.00,PCS,UGX,1,0,Source VAT: 2121968.00; source inclusive: 13910677.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-INJECTOR-PUMP-SERVICE,Standard Selling,9154516.00,PCS,UGX,1,0,Source VAT: 1647813.00; source inclusive: 10802329.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-FLUID-GASKET-SEALANT-TUBE,Standard Selling,620105.00,PCS,UGX,1,0,Source VAT: 111619.00; source inclusive: 731724.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-FAN-COOLING,Standard Selling,779171.00,PCS,UGX,1,0,Source VAT: 140251.00; source inclusive: 919422.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CANSHAFT-PULLEY,Standard Selling,534689.00,PCS,UGX,1,0,Source VAT: 96244.00; source inclusive: 630933.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CRANKSHAFT-PULLEY,Standard Selling,1083983.00,PCS,UGX,1,0,Source VAT: 195117.00; source inclusive: 1279100.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-FAN-ASSY-COND-AC-FAN-SHROUD,Standard Selling,306293.00,PCS,UGX,1,0,Source VAT: 55133.00; source inclusive: 361425.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-SHROUD-RAD-LOWE-COOLING-FAN-SHROUD,Standard Selling,993118.00,PCS,UGX,1,0,Source VAT: 178761.00; source inclusive: 1171879.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-RADIATOR-ASSY,Standard Selling,5570553.00,PCS,UGX,1,0,Source VAT: 1002699.00; source inclusive: 6573252.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CAP-ASSY-PRESSU-RADIATOR-CAP,Standard Selling,73978.00,PCS,UGX,1,0,Source VAT: 13316.00; source inclusive: 87294.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-MOUNTING-RUBBER-UPPER-RADIATOR-MOUNTINGS,Standard Selling,77700.00,Set,UGX,1,0,Source VAT: 13986.00; source inclusive: 91686.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-RUBBER-MOUNTING-LOWER-RADIATOR-MOUNTING,Standard Selling,62213.00,Set,UGX,1,0,Source VAT: 11198.00; source inclusive: 73411.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-HOSE-RESERVE-TA-RESERVE-TANK-PIPE,Standard Selling,32958.00,PCS,UGX,1,0,Source VAT: 5932.00; source inclusive: 38890.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-NOZZLE-WASHER-WIPER-NOZZLES,Standard Selling,134900.00,Set,UGX,1,0,Source VAT: 24282.00; source inclusive: 159182.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-TANK-ASSY-RESER-RESERVOIR-TANK,Standard Selling,437190.00,PCS,UGX,1,0,Source VAT: 78694.00; source inclusive: 515884.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BODY-CLEANER-AIR-CLEANER-HOUSING,Standard Selling,1020951.00,PCS,UGX,1,0,Source VAT: 183771.00; source inclusive: 1204722.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PUMP-ASSY-WATER-WATER-PUMP,Standard Selling,2322045.00,PCS,UGX,1,0,Source VAT: 417968.00; source inclusive: 2740014.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-WATER-TEMPERATURE-SENSOR,Standard Selling,183242.00,PCS,UGX,1,0,Source VAT: 32984.00; source inclusive: 216226.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-ENGINE-COOLANT,Standard Selling,235813.00,PCS,UGX,1,0,Source VAT: 42446.00; source inclusive: 278259.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-GASKET-WATER-PU-WATER-PUMP-GASKET,Standard Selling,35614.00,PCS,UGX,1,0,Source VAT: 6411.00; source inclusive: 42025.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-TANK-ASSY-WS-WASH-WIPER-TANK-TANK,Standard Selling,218398.00,PCS,UGX,1,0,Source VAT: 39312.00; source inclusive: 257710.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-FILTER-ASSY-OIL-OIL-FILTER,Standard Selling,137257.00,PCS,UGX,1,0,Source VAT: 24706.00; source inclusive: 161963.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-CAP-ASSY-OIL-FI-OIL-FILLER-CAP,Standard Selling,18350.00,PCS,UGX,1,0,Source VAT: 3303.00; source inclusive: 21652.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-HOSE-WATER-OIL-COOLER-PIPE,Standard Selling,114137.00,PCS,UGX,1,0,Source VAT: 20545.00; source inclusive: 134682.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-COOLER-OIL-OIL-COOLER,Standard Selling,7577188.00,PCS,UGX,1,0,Source VAT: 1363894.00; source inclusive: 8941082.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-STRAINER-OIL-OIL-STRAINER,Standard Selling,269968.00,PCS,UGX,1,0,Source VAT: 48594.00; source inclusive: 318562.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-GAUGE-OIL-LEVEL-DIPSTICK,Standard Selling,102353.00,PCS,UGX,1,0,Source VAT: 18424.00; source inclusive: 120777.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-PAN-ASSY-OIL-OIL-PAN,Standard Selling,1012871.00,PCS,UGX,1,0,Source VAT: 182317.00; source inclusive: 1195187.00; arithmetic delta: 1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-BRACKET-OIL-FIL-OIL-FILTER-BRACKET,Standard Selling,530658.00,PCS,UGX,1,0,Source VAT: 95518.00; source inclusive: 626177.00; arithmetic delta: -1.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-WASHER-DRAIN-DRAIN-PLUG-WASHER,Standard Selling,8155.00,PCS,UGX,1,0,Source VAT: 1468.00; source inclusive: 9623.00; arithmetic delta: 0.00,docs/item details.csv
,ASM-NISSAN-VEHICLES-YD25-ENGINE-SPARK-PLUGS,Standard Selling,114180.50,PCS,UGX,1,0,Source VAT: 20552.00; source inclusive: 134733.00; arithmetic delta: -0.50,docs/item details.csv
