name,item_code,item_name,item_group,stock_uom,description,is_stock_item,is_sales_item,is_purchase_item,disabled
,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL,Nissan vehicles – KA24 engine - TUBE ASSY-INJEC (Fuel rail),Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-INJECTION-FUEL-RAIL-PIPE1,Nissan vehicles – KA24 engine - TUBE-INJECTION (Fuel rail pipe1),Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE2,Nissan vehicles – KA24 engine - TUBE ASSY-INJEC (Fuel rail pipe2),Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE3,Nissan vehicles – KA24 engine - TUBE ASSY-INJEC (Fuel rail pipe3),Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-TUBE-ASSY-INJEC-FUEL-RAIL-PIPE4,Nissan vehicles – KA24 engine - TUBE ASSY-INJEC (Fuel rail pipe4),Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-O-RING-TANK-BELT-CLAMP,Nissan vehicles – KA24 engine - O RING (Tank belt clamp),Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-CAP-FILLER-SCRE-FUEL-TANK-CAP-RUBBER,Nissan vehicles – KA24 engine - Cap-filler-scre (Fuel tank cap - rubber),Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-MANIFOLD-ASSY-I-INTAKE-MANIFOLD-ASS,Nissan vehicles – KA24 engine - Manifold Assy-I (Intake manifold ass),Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SUCTION-CONTROL-VALVE,Nissan vehicles – KA24 engine - Suction control valve,Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-FUEL-FILTER-SENOSR,Nissan vehicles – KA24 engine - Fuel filter senosr,Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-GASKET-MANIFOLD,Nissan vehicles – KA24 engine - Gasket-manifold,Fuel Supply System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Fuel Supply System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-LINK-COMPL-FR-S-BALL-JOINT-UPPER-LH,Nissan vehicles – KA24 engine - Link Compl-fr S (Ball joint - upper LH),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-LINK-COMPL-RH-BALL-JOINT-UPPER-RH,Nissan vehicles – KA24 engine - LINK COMPL RH (Ball joint - upper RH),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-LINK-COMPL-FR-S-BALL-JOINT-LOWER-RH,Nissan vehicles – KA24 engine - Link Compl-fr S (Ball joint - lower RH),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-LINK-COMPL-FR-S-BALL-JOINT-LOWER-LH,Nissan vehicles – KA24 engine - Link Compl-fr S (Ball joint - lower LH),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-ROD-KIT-RELAY-TRACK-ROD,Nissan vehicles – KA24 engine - Rod Kit-relay * (Track rod),Suspension & Steering System,PCS,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: PC,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-ROD-KIT-TIE-TIE-ROD-ENDS,Nissan vehicles – KA24 engine - Rod Kit - Tie; (Tie rod ends),Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-ABSORBER-SHOCK-FRONT-SHOCK-ABSORBERS,Nissan vehicles – KA24 engine - ABSORBER-SHOCK (Front shock absorbers),Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-BUSH-TELEX-SHOCK-ABSORBER-BUSHES,Nissan vehicles – KA24 engine - Bush *telex* (Shock absorber bushes),Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
,ASM-NISSAN-VEHICLES-KA24-ENGINE-SHOCK-RR-2WD-KA-REAR-SHOCK-ABSORBERS,Nissan vehicles – KA24 engine - Shock RR 2WD KA (rear shock absorbers),Suspension & Steering System,Set,Vehicle applicability: Nissan vehicles – KA24 engine; System category: Suspension & Steering System; Source item group: Auto Parts; Source unit: Set,1,1,1,0
