Vehicle Group,full item name,System Category,Item Name,item group,Unit,Price VAT tax Excl (source),VAT tax,price VAT tax Incl (source)
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine injector pump service,Engine Components,injector pump service,Auto Parts,PC,"9,154,516.00","1,647,813.00","10,802,329.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Fluid Gasket (Sealant tube),Engine Components,Fluid Gasket (Sealant tube),Auto Parts,PC,"620,105.00","111,619.00","731,724.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine FAN COOLING,Engine Components,FAN COOLING,Auto Parts,PC,"779,171.00","140,251.00","919,422.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Canshaft pulley,Engine Components,Canshaft pulley,Auto Parts,PC,"534,689.00","96,244.00","630,933.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Crankshaft pulley,Engine Components,Crankshaft pulley,Auto Parts,PC,"1,083,983.00","195,117.00","1,279,100.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine FAN ASSY-COND (AC fan shroud),Engine Cooling System,FAN ASSY-COND (AC fan shroud),Auto Parts,PC,"306,293.00","55,133.00","361,425.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Shroud-rad.lowe (Cooling fan shroud),Engine Cooling System,Shroud-rad.lowe (Cooling fan shroud),Auto Parts,PC,"993,118.00","178,761.00","1,171,879.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Radiator assy,Engine Cooling System,Radiator assy,Auto Parts,PC,"5,570,553.00","1,002,699.00","6,573,252.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CAP ASSY-PRESSU (Radiator cap),Engine Cooling System,CAP ASSY-PRESSU (Radiator cap),Auto Parts,PC,"73,978.00","13,316.00","87,294.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine MOUNTING RUBBER (Upper radiator mountings),Engine Cooling System,MOUNTING RUBBER (Upper radiator mountings),Auto Parts,Set,"77,700.00","13,986.00","91,686.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine RUBBER-MOUNTING (Lower radiator mounting),Engine Cooling System,RUBBER-MOUNTING (Lower radiator mounting),Auto Parts,Set,"62,213.00","11,198.00","73,411.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine HOSE-RESERVE TA (Reserve tank pipe),Engine Cooling System,HOSE-RESERVE TA (Reserve tank pipe),Auto Parts,PC,"32,958.00","5,932.00","38,890.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Nozzle Washer (Wiper nozzles),Engine Cooling System,Nozzle Washer (Wiper nozzles),Auto Parts,Set,"134,900.00","24,282.00","159,182.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine TANK ASSY-RESER (Reservoir tank),Engine Cooling System,TANK ASSY-RESER (Reservoir tank),Auto Parts,PC,"437,190.00","78,694.00","515,884.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BODY-CLEANER (Air cleaner housing),Engine Cooling System,BODY-CLEANER (Air cleaner housing),Auto Parts,PC,"1,020,951.00","183,771.00","1,204,722.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PUMP ASSY-WATER (Water pump),Engine Cooling System,PUMP ASSY-WATER (Water pump),Auto Parts,PC,"2,322,045.00","417,968.00","2,740,014.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Water temperature sensor,Engine Cooling System,Water temperature sensor,Auto Parts,PC,"183,242.00","32,984.00","216,226.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine ENGINE COOLANT,Engine Cooling System,ENGINE COOLANT,Auto Parts,PC,"235,813.00","42,446.00","278,259.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine GASKET-WATER PU (Water pump gasket),Engine Cooling System,GASKET-WATER PU (Water pump gasket),Auto Parts,PC,"35,614.00","6,411.00","42,025.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine TANK ASSY -WS WASH (Wiper tank tank),Engine Cooling System,TANK ASSY -WS WASH (Wiper tank tank),Auto Parts,PC,"218,398.00","39,312.00","257,710.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine FILTER ASSY-OIL (Oil filter),Engine Oil System,FILTER ASSY-OIL (Oil filter),Auto Parts,PC,"137,257.00","24,706.00","161,963.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CAP ASSY-OIL FI (Oil filler cap),Engine Oil System,CAP ASSY-OIL FI (Oil filler cap),Auto Parts,PC,"18,350.00","3,303.00","21,652.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PUMP ASSY OIL D (Oil pump),Engine Oil System,PUMP ASSY OIL D (Oil pump),Auto Parts,PC,"1,231,333.00","221,640.00","1,452,973.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine HOSE-WATER (Oil cooler pipe),Engine Oil System,HOSE-WATER (Oil cooler pipe),Auto Parts,PC,"114,137.00","20,545.00","134,682.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine COOLER OIL (Oil cooler),Engine Oil System,COOLER OIL (Oil cooler),Auto Parts,PC,"7,577,188.00","1,363,894.00","8,941,082.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine STRAINER OIL (Oil strainer),Engine Oil System,STRAINER OIL (Oil strainer),Auto Parts,PC,"269,968.00","48,594.00","318,562.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine GAUGE OIL LEVEL (Dipstick),Engine Oil System,GAUGE OIL LEVEL (Dipstick),Auto Parts,PC,"102,353.00","18,424.00","120,777.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine PAN ASSY-OIL (Oil pan),Engine Oil System,PAN ASSY-OIL (Oil pan),Auto Parts,PC,"1,012,871.00","182,317.00","1,195,187.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BRACKET-OIL FIL (Oil filter bracket),Engine Oil System,BRACKET-OIL FIL (Oil filter bracket),Auto Parts,PC,"530,658.00","95,518.00","626,177.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine WASHER DRAIN (Drain plug washer),Engine Oil System,WASHER DRAIN (Drain plug washer),Auto Parts,PC,"8,155.00","1,468.00","9,623.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SPARK PLUGS,Engine Oil System,SPARK PLUGS,Auto Parts,PC,"114,180.50","20,552.00","134,733.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine MFLR ASSY (Exhaust pipe complete( Silencers,pipes etc))",Exhaust System,"MFLR ASSY (Exhaust pipe complete( Silencers,pipes etc))",Auto Parts,PC,"1,300,084.00","234,015.00","1,534,099.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CONVERTER ASSY (Catalytic converter),Exhaust System,CONVERTER ASSY (Catalytic converter),Auto Parts,PC,"6,177,855.00","1,112,014.00","7,289,869.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BOLT (Exhaust bolt),Exhaust System,BOLT (Exhaust bolt),Auto Parts,PC,"8,268.00","1,488.00","9,756.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BOLT HEX HD (Exhaust bolt),Exhaust System,BOLT HEX HD (Exhaust bolt),Auto Parts,PC,"123,752.00","22,275.00","146,027.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine BOLT (Exhaust bolt),Exhaust System,BOLT (Exhaust bolt),Auto Parts,PC,"49,605.00","8,929.00","58,534.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine SCR-HEX HD PP W (Exhaust bolt),Exhaust System,SCR-HEX HD PP W (Exhaust bolt),Auto Parts,Set,"56,339.00","10,141.00","66,480.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine CLAMP-EXH MTG (exhaust clamp),Exhaust System,CLAMP-EXH MTG (exhaust clamp),Auto Parts,PC,"221,354.00","39,844.00","261,198.00"
Nissan vehicles – YD25 engine,"Nissan vehicles – YD25 engine Gasket, exhaust Big (Exhaust manifold gasket)",Exhaust System,"Gasket, exhaust Big (Exhaust manifold gasket)",Auto Parts,PC,"28,488.00","5,128.00","33,615.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine Bracket - Exh M (Exhaust mounting bracket),Exhaust System,Bracket - Exh M (Exhaust mounting bracket),Auto Parts,PC,"124,126.00","22,343.00","146,468.00"
Nissan vehicles – YD25 engine,Nissan vehicles – YD25 engine INSUL EXH MTG (Exhaust mounting),Exhaust System,INSUL EXH MTG (Exhaust mounting),Auto Parts,PC,"207,681.00","37,382.00","245,063.00"
